case	Cluster_Name	easy_id	count_bycluster	count_bycase	frac_cluster_count_bycase
C3L-00004	C3L-00004-T1_C1	C3L-00004-T1	1433	1844	0.777114967462039
C3L-00004	C3L-00004-T1_C2	C3L-00004-T1	396	1844	0.214750542299349
C3L-00004	C3L-00004-T1_C3	C3L-00004-T1	8	1844	0.00433839479392625
C3L-00004	C3L-00004-T1_C4	C3L-00004-T1	7	1844	0.00379609544468547
C3L-00010	C3L-00010-T1_C1	C3L-00010-T1	3523	4220	0.834834123222749
C3L-00010	C3L-00010-T1_C2	C3L-00010-T1	466	4220	0.11042654028436
C3L-00010	C3L-00010-T1_C3	C3L-00010-T1	175	4220	0.0414691943127962
C3L-00010	C3L-00010-T1_C4	C3L-00010-T1	56	4220	0.0132701421800948
C3L-00026	C3L-00026-T1_C1	C3L-00026-T1	1635	4445	0.367829021372328
C3L-00026	C3L-00026-T1_C2	C3L-00026-T1	2293	4445	0.515860517435321
C3L-00026	C3L-00026-T1_C3	C3L-00026-T1	443	4445	0.0996625421822272
C3L-00026	C3L-00026-T1_C4	C3L-00026-T1	26	4445	0.00584926884139483
C3L-00026	C3L-00026-T1_C5	C3L-00026-T1	48	4445	0.0107986501687289
C3L-00079	C3L-00079-T1_C1	C3L-00079-T1	1505	2280	0.660087719298246
C3L-00079	C3L-00079-T1_C2	C3L-00079-T1	306	2280	0.134210526315789
C3L-00079	C3L-00079-T1_C3	C3L-00079-T1	239	2280	0.104824561403509
C3L-00079	C3L-00079-T1_C4	C3L-00079-T1	173	2280	0.0758771929824561
C3L-00079	C3L-00079-T1_C5	C3L-00079-T1	57	2280	0.025
C3L-00088	C3L-00088-T1_C1	C3L-00088-T1	3910	7651	0.511044307933603
C3L-00088	C3L-00088-T1_C2	C3L-00088-T1	25	7651	0.00326754672591818
C3L-00088	C3L-00088-T1_C3	C3L-00088-T1	15	7651	0.00196052803555091
C3L-00088	C3L-00088-T1_C4	C3L-00088-T1	49	7651	0.00640439158279963
C3L-00088	C3L-00088-T2_C1	C3L-00088-T2	3439	7651	0.449483727617305
C3L-00088	C3L-00088-T2_C2	C3L-00088-T2	45	7651	0.00588158410665273
C3L-00088	C3L-00088-T2_C3	C3L-00088-T2	26	7651	0.00339824859495491
C3L-00088	C3L-00088-T2_C4	C3L-00088-T2	73	7651	0.00954123643968109
C3L-00088	C3L-00088-T2_C5	C3L-00088-T2	69	7651	0.00901842896353418
