UMAP_1	UMAP_2	Text_Cluster
3.18188439693187	-4.50409624998932	T3_C1
4.57601844157909	-4.97810361807709	T3_C1
4.82953463878368	-4.24182603781586	T3_C1
2.50407134380077	-1.52507517760163	T3_C1
6.36240683879588	-4.31015918677216	T3_C1
5.62502585735057	-3.85002158110505	T3_C1
2.59726582851146	-5.993348578862	T3_C1
2.74546777095531	-1.98299298708802	T3_C1
2.81228791560863	-5.38749168341523	T3_C1
4.64666758861278	-3.7674193186081	T3_C1
5.76249228801463	-4.67154596274262	T3_C1
6.41383992519115	-3.90862129156952	T3_C1
4.63573180522655	-4.03660462324982	T3_C1
5.70472585048411	-4.49493263190155	T3_C1
4.84833632793162	-3.80535910551911	T3_C1
3.32773124065135	-5.71437833731537	T3_C1
6.05819569911693	-4.48877022688752	T3_C1
1.5337580331776	-1.41088155930405	T3_C1
2.04389511432384	-5.19178913061982	T3_C1
4.23570977534984	-4.84438560431366	T3_C1
3.41289483394359	-5.30292079871064	T3_C1
3.81663523997996	-3.97868273680573	T3_C1
4.30721961345409	-3.58601949637299	T3_C1
5.59343110408519	-6.2867588800705	T3_C1
5.25829612102245	-3.85450241988068	T3_C1
-2.35315145168568	6.47470571572418	T3_C1
3.8607078680012	-4.75645540182953	T3_C1
2.52018843974803	-5.35261485998993	T3_C1
4.85600959148143	-3.91065547888642	T3_C1
5.75810014095042	-4.60565398161774	T3_C1
3.18723546352122	-3.71226809447175	T3_C1
5.07798873271678	-3.50027773802643	T3_C1
5.66229211177562	-5.12540862982636	T3_C1
2.41445838298534	-5.53257463400727	T3_C1
3.93788873042796	-4.604596833638	T3_C1
3.52237378444408	-3.84807751601105	T3_C1
3.95265637721751	-3.55979583685761	T3_C1
2.72822295512889	-1.93853352492218	T3_C1
5.51324044551585	-6.09270332281952	T3_C1
6.26134120311473	-4.21774051611786	T3_C1
5.78726683940623	-4.58283851569062	T3_C1
4.75015460338328	-3.35779211943512	T3_C1
4.66200696315501	-5.12518547003632	T3_C1
4.58281289424632	-3.42824194853669	T3_C1
6.28481303539012	-4.16791365569001	T3_C1
5.39741240825389	-5.90049789374237	T3_C1
2.52817880000804	-5.99273155157929	T3_C1
3.032829392812	-3.36356447165375	T3_C1
2.00121747340892	-5.28943632071381	T3_C1
4.60932027187083	-4.53546641295319	T3_C1
6.07976495113109	-4.64527700369721	T3_C1
5.54627810802196	-4.16407154028779	T3_C1
4.08892785396312	-3.5343494219101	T3_C1
4.66002284373973	-4.88432119315033	T3_C1
2.49701463069652	-1.37387053196793	T3_C1
3.24063598003123	-3.98002789442902	T3_C1
5.91252576198314	-3.92979500716095	T3_C1
6.06452332820628	-4.26325033133393	T3_C1
0.67298351611827	-2.87083599989777	T3_C1
3.76911460246776	-2.17556546156769	T3_C1
4.827507127187	-4.86897371237641	T3_C1
6.22070847835277	-3.90775201743012	T3_C1
4.22410260524486	-4.37994168227082	T3_C1
3.98638545360301	-3.55920026724701	T3_C1
6.32348023738597	-3.89761851256257	T3_C1
3.50196658458446	-3.74408839171296	T3_C1
2.85497008647655	-4.4788484377182	T3_C1
3.42174016322826	-3.16851852362519	T3_C1
3.8325382360432	-3.04567192023163	T3_C1
3.71636353816722	-3.51845810835724	T3_C1
4.22784482326244	-4.99991558020478	T3_C1
2.53466712321971	-5.96563432639008	T3_C1
3.06560050334666	-3.82489107077485	T3_C1
1.09170137729381	-3.01137087767487	T3_C1
2.57570706691478	-5.1253180307663	T3_C1
2.69056521739696	-4.72590015356904	T3_C1
3.20804940547679	-5.64638517325287	T3_C1
5.76334010448192	-4.10700557654267	T3_C1
6.09134494151805	-4.48761890356904	T3_C1
5.64906131114696	-4.38742158835297	T3_C1
