x_plot	y_plot	size_plot	log10FDR
0.911458333333333	Eicosanoid metabolism	7	2.96016417238247
0.911458333333333	Zinc homeostasis	7	2.27722348451708
1.30208333333333	Extracellular matrix proteins	10	2.32607188454706
1.82291666666667	Late response to estrogen	14	1.22777627497796
3.64583333333333	SLC transmembrane trasnport	28	7.81490055321014
