UMAP_1	UMAP_2	cnv_cat_simple	Text_TumorCluster
-1.82989116856683	-1.29312937338271	neutral	C1
-1.47270443947841	-1.56573574621597	neutral	C1
-0.791542702408919	-1.51185177643218	neutral	C1
1.88410670211684	3.34890158097825	neutral	C1
0.528793401030412	3.35625917832932	neutral	C1
-0.0208483273707718	-1.1184834726564	neutral	C1
-0.0953361327372879	-1.19662742693343	neutral	C1
-3.1951461369716	-0.848843503784325	neutral	C1
0.611598557738176	3.01639730851731	neutral	C1
0.791327304152361	3.74268705766282	neutral	C1
-2.10376363346208	-0.771943021606591	neutral	C1
-3.6920077140056	-1.37203787643829	neutral	C1
0.426154917982927	3.5560897104033	neutral	C1
1.02341706207167	2.77147705476365	neutral	C1
-2.9876905019008	-1.28345148641982	neutral	C1
-3.19667153904069	-1.27570401508727	neutral	C1
1.90543395927321	2.71390087525925	neutral	C1
1.185705251006	2.35523874681077	neutral	C1
0.38681024959456	3.13043768327317	neutral	C1
1.18559152534377	2.65147240083298	neutral	C1
0.260825104025713	3.49027807633958	neutral	C1
-3.58787386962999	-1.56422208626189	neutral	C1
-2.03984140703309	-1.20532386381545	neutral	C1
0.61879975250136	3.66839487474045	neutral	C1
0.342118567732683	-0.668887902092126	neutral	C1
-3.20537083694566	2.1077664605864	neutral	C1
0.192687339094987	0.856744121719215	gain	C1
-2.02433865615953	1.64022381227097	gain	C1
-1.74001232633222	-0.0853206403962639	gain	C1
-0.45488827774156	3.20381290834031	gain	C1
0.641160077360979	3.59364445130906	gain	C1
-4.29303711006273	-1.16546373445907	gain	C1
-1.74381587752927	0.0400424710997078	gain	C1
-2.74119906971086	-2.09875633199134	gain	C1
0.393063134459367	-1.33561192829528	gain	C1
1.15171439102065	1.73941404740891	gain	C1
0.564702100066057	3.16228611390671	gain	C1
0.674928969649187	-1.15792481977859	gain	C1
1.00219184806716	1.5679465047606	gain	C1
0.206849879530778	-0.44376247007766	gain	C1
5.92064244201552	-1.99168740589538	gain	C2
-0.2972345883571	0.268724989105079	gain	C1
1.54419643333327	1.62070686738572	gain	C1
-3.59610074112047	0.888893913436744	gain	C1
-2.90426366874803	-1.63280587274947	gain	C1
-0.2795104319774	-2.20194233958044	gain	C1
-3.81702988693345	0.556631874252174	gain	C1
-0.354468041154036	-2.7232411094419	gain	C1
0.429161733893266	-1.30197583515563	gain	C1
0.73692399909865	-0.906573940109399	gain	C1
0.15041059902083	-0.161510158371117	gain	C1
2.18219644477736	2.91862852494797	gain	C1
-1.03077011654008	-0.997849512886193	gain	C1
-3.3551027114116	-0.410109330009606	gain	C1
-0.0292615229808182	1.7957227937468	gain	C1
2.14626366546523	2.03125841538987	gain	C1
-1.8761561746322	2.06876976411423	gain	C1
1.38355547836196	3.07755882661423	gain	C1
-3.57720678398241	-1.80353917558112	gain	C1
-3.50820820877183	0.710475515533302	gain	C1
0.774021691588274	-4.33707754690566	gain	C3
-0.112922244759688	-1.83527340371528	gain	C1
-2.08564471552003	-0.253728438209679	gain	C1
-2.10709505626787	1.93565399568162	gain	C1
1.93047887733351	3.33370191972337	gain	C1
1.41177422454726	1.49333031098923	gain	C1
0.0386003916538864	-0.646359611343529	gain	C1
-2.61795025417436	2.60389835755906	gain	C1
-2.37034880468477	1.99539501588425	gain	C1
6.37161166122328	-1.84922276813903	gain	C2
-2.45045881816972	2.35818321626267	gain	C1
-3.88279383728136	-1.92373337228217	gain	C1
-1.60378372022737	-1.24026827890792	gain	C1
-3.29583769390214	-1.16323142130294	gain	C1
6.05151183059584	-1.86062170941749	gain	C2
0.466923183707109	1.08884413163743	gain	C1
1.08840090682875	1.8690551034697	gain	C1
1.51403481414687	1.8165877572783	gain	C1
0.436832017210832	0.797664236236427	gain	C1
-0.192628794404158	0.494114469695899	gain	C1
-1.78281840035547	0.108373474288795	gain	C1
-1.04562633583177	-0.595538068603661	gain	C1
-0.142455750199446	3.05249626557908	gain	C1
-0.74975972721208	3.3121989480742	gain	C1
2.32851178100478	-3.23292468864837	gain	C1
-0.285612278672347	-0.0125991590730217	gain	C1
0.678857154158464	1.10311539094529	gain	C1
1.71093661239516	3.46214706819138	gain	C1
-2.25246530124772	1.37863309304795	gain	C1
-1.20774372765649	-0.0679449327699211	gain	C1
-1.42730230191577	-1.23615281660476	gain	C1
-1.60389112034667	-1.53762357313552	gain	C1
-2.36624156782258	-0.42574935038009	gain	C1
0.359058326987138	-1.56181215126434	gain	C1
-1.98588877269853	-1.43093215305724	gain	C1
-3.68835299560655	1.23289830606065	gain	C1
-4.19811814376939	-1.52193127949157	gain	C1
-1.35113459179033	-1.86120210964599	gain	C1
5.40467841079604	-0.580953288864281	gain	C1
-2.31379001686204	-2.10109928626933	gain	C1
-2.12336575338472	-1.9616356380693	gain	C1
-3.79694240638841	0.403952669311378	gain	C1
1.24399859359633	2.65305216233811	gain	C1
0.575579470900407	1.81889469544968	gain	C1
0.827951735762468	2.05150253694138	gain	C1
6.12443072250258	-2.09219305593887	gain	C2
0.661464995650163	3.49318487565598	gain	C1
-1.90553277084459	-2.06547443945327	gain	C1
-1.70683082291711	2.23261721055588	gain	C1
-0.935926669331679	3.25428230683884	gain	C1
-2.27367066690553	-0.170806575607445	gain	C1
-3.41254394600023	-1.05755119402328	gain	C1
0.200938171652666	2.86987955491624	gain	C1
0.306245750693193	-1.47417073328414	gain	C1
-2.12191932746995	2.19230205934128	gain	C1
-0.546366983147749	3.3374446145781	gain	C1
0.685067242888322	-1.06401877481857	gain	C1
-0.512059503289351	-1.98786493022361	gain	C1
