UMAP_1	UMAP_2	cnv_cat_simple
3.18188439693187	-4.50409624998932	neutral
4.57601844157909	-4.97810361807709	gain
4.82953463878368	-4.24182603781586	gain
2.50407134380077	-1.52507517760163	gain
6.36240683879588	-4.31015918677216	gain
5.62502585735057	-3.85002158110505	gain
2.59726582851146	-5.993348578862	gain
2.74546777095531	-1.98299298708802	gain
2.81228791560863	-5.38749168341523	gain
4.64666758861278	-3.7674193186081	gain
5.76249228801463	-4.67154596274262	gain
6.41383992519115	-3.90862129156952	gain
4.63573180522655	-4.03660462324982	gain
5.70472585048411	-4.49493263190155	gain
4.84833632793162	-3.80535910551911	gain
3.32773124065135	-5.71437833731537	gain
6.05819569911693	-4.48877022688752	gain
1.5337580331776	-1.41088155930405	gain
2.04389511432384	-5.19178913061982	gain
4.23570977534984	-4.84438560431366	gain
3.41289483394359	-5.30292079871064	gain
3.81663523997996	-3.97868273680573	gain
4.30721961345409	-3.58601949637299	gain
5.59343110408519	-6.2867588800705	gain
5.25829612102245	-3.85450241988068	gain
-2.35315145168568	6.47470571572418	gain
3.8607078680012	-4.75645540182953	gain
2.52018843974803	-5.35261485998993	gain
4.85600959148143	-3.91065547888642	gain
5.75810014095042	-4.60565398161774	gain
3.18723546352122	-3.71226809447175	neutral
5.07798873271678	-3.50027773802643	gain
5.66229211177562	-5.12540862982636	gain
2.41445838298534	-5.53257463400727	gain
3.93788873042796	-4.604596833638	gain
3.52237378444408	-3.84807751601105	neutral
3.95265637721751	-3.55979583685761	gain
2.72822295512889	-1.93853352492218	gain
5.51324044551585	-6.09270332281952	gain
6.26134120311473	-4.21774051611786	gain
5.78726683940623	-4.58283851569062	gain
4.75015460338328	-3.35779211943512	gain
4.66200696315501	-5.12518547003632	gain
4.58281289424632	-3.42824194853669	gain
6.28481303539012	-4.16791365569001	neutral
5.39741240825389	-5.90049789374237	gain
2.52817880000804	-5.99273155157929	gain
3.032829392812	-3.36356447165375	gain
2.00121747340892	-5.28943632071381	gain
4.60932027187083	-4.53546641295319	gain
6.07976495113109	-4.64527700369721	gain
5.54627810802196	-4.16407154028779	gain
