V1	variable	value	id_sample_cell_group	aliquot	cell_group.columnname	x_plot	cell_group	id_sample
CA9	SCT.CPT0001270002_Macrophages	0	CPT0001270002_Macrophages	CPT0001270002	Macrophages	0	Macrophages	C3L-00079-N
PCSK6	SCT.CPT0001270002_Macrophages	0.0166666666666667	CPT0001270002_Macrophages	CPT0001270002	Macrophages	0.0166666666666667	Macrophages	C3L-00079-N
CP	SCT.CPT0001270002_Podocytes	0.0875	CPT0001270002_Podocytes	CPT0001270002	Podocytes	0.0875	Podocytes	C3L-00079-N
CA9	SCT.CPT0001270002_Podocytes	0	CPT0001270002_Podocytes	CPT0001270002	Podocytes	0	Podocytes	C3L-00079-N
PCSK6	SCT.CPT0001270002_Podocytes	0.025	CPT0001270002_Podocytes	CPT0001270002	Podocytes	0.025	Podocytes	C3L-00079-N
CP	SCT.CPT0001270002_NK.cells	0.0869565217391304	CPT0001270002_NK.cells	CPT0001270002	NK.cells	0.0869565217391304	NK cells	C3L-00079-N
CA9	SCT.CPT0001270002_NK.cells	0	CPT0001270002_NK.cells	CPT0001270002	NK.cells	0	NK cells	C3L-00079-N
PCSK6	SCT.CPT0001270002_NK.cells	0	CPT0001270002_NK.cells	CPT0001270002	NK.cells	0	NK cells	C3L-00079-N
CP	SCT.CPT0001270002_CD8..T.cells	0	CPT0001270002_CD8..T.cells	CPT0001270002	CD8..T.cells	0	CD8+ T-cells	C3L-00079-N
CA9	SCT.CPT0001270002_CD8..T.cells	0	CPT0001270002_CD8..T.cells	CPT0001270002	CD8..T.cells	0	CD8+ T-cells	C3L-00079-N
PCSK6	SCT.CPT0001270002_CD8..T.cells	0.111111111111111	CPT0001270002_CD8..T.cells	CPT0001270002	CD8..T.cells	0.111111111111111	CD8+ T-cells	C3L-00079-N
CP	SCT.CPT0014470002_Proximal.tubule	0.0235988200589971	CPT0014470002_Proximal.tubule	CPT0014470002	Proximal.tubule	0.0235988200589971	Proximal tubule	C3N-00242-N
CA9	SCT.CPT0014470002_Proximal.tubule	0.00491642084562439	CPT0014470002_Proximal.tubule	CPT0014470002	Proximal.tubule	0.00491642084562439	Proximal tubule	C3N-00242-N
PCSK6	SCT.CPT0014470002_Proximal.tubule	0.0117994100294985	CPT0014470002_Proximal.tubule	CPT0014470002	Proximal.tubule	0.0117994100294985	Proximal tubule	C3N-00242-N
CP	SCT.CPT0014470002_Distal.convoluted.tubule	0.050314465408805	CPT0014470002_Distal.convoluted.tubule	CPT0014470002	Distal.convoluted.tubule	0.050314465408805	Distal convoluted tubule	C3N-00242-N
CA9	SCT.CPT0014470002_Distal.convoluted.tubule	0	CPT0014470002_Distal.convoluted.tubule	CPT0014470002	Distal.convoluted.tubule	0	Distal convoluted tubule	C3N-00242-N
PCSK6	SCT.CPT0014470002_Distal.convoluted.tubule	0.0723270440251572	CPT0014470002_Distal.convoluted.tubule	CPT0014470002	Distal.convoluted.tubule	0.0723270440251572	Distal convoluted tubule	C3N-00242-N
CP	SCT.CPT0014470002_Intercalated.cells	0.0467128027681661	CPT0014470002_Intercalated.cells	CPT0014470002	Intercalated.cells	0.0467128027681661	Intercalated cells	C3N-00242-N
CA9	SCT.CPT0014470002_Intercalated.cells	0	CPT0014470002_Intercalated.cells	CPT0014470002	Intercalated.cells	0	Intercalated cells	C3N-00242-N
PCSK6	SCT.CPT0014470002_Intercalated.cells	0.0380622837370242	CPT0014470002_Intercalated.cells	CPT0014470002	Intercalated.cells	0.0380622837370242	Intercalated cells	C3N-00242-N
CP	SCT.CPT0014470002_CD4..T.cells	0.0375335120643432	CPT0014470002_CD4..T.cells	CPT0014470002	CD4..T.cells	0.0375335120643432	CD4+ T-cells	C3N-00242-N
CA9	SCT.CPT0014470002_CD4..T.cells	0	CPT0014470002_CD4..T.cells	CPT0014470002	CD4..T.cells	0	CD4+ T-cells	C3N-00242-N
PCSK6	SCT.CPT0014470002_CD4..T.cells	0.00268096514745308	CPT0014470002_CD4..T.cells	CPT0014470002	CD4..T.cells	0.00268096514745308	CD4+ T-cells	C3N-00242-N
CP	SCT.CPT0014470002_Myofibroblasts	0.429012345679012	CPT0014470002_Myofibroblasts	CPT0014470002	Myofibroblasts	0.429012345679012	Myofibroblasts	C3N-00242-N
CA9	SCT.CPT0014470002_Myofibroblasts	0	CPT0014470002_Myofibroblasts	CPT0014470002	Myofibroblasts	0	Myofibroblasts	C3N-00242-N
PCSK6	SCT.CPT0014470002_Myofibroblasts	0.0154320987654321	CPT0014470002_Myofibroblasts	CPT0014470002	Myofibroblasts	0.0154320987654321	Myofibroblasts	C3N-00242-N
CP	SCT.CPT0014470002_Loop.of.Henle	0.0335365853658537	CPT0014470002_Loop.of.Henle	CPT0014470002	Loop.of.Henle	0.0335365853658537	Loop of Henle	C3N-00242-N
CA9	SCT.CPT0014470002_Loop.of.Henle	0.00152439024390244	CPT0014470002_Loop.of.Henle	CPT0014470002	Loop.of.Henle	0.00152439024390244	Loop of Henle	C3N-00242-N
PCSK6	SCT.CPT0014470002_Loop.of.Henle	0.11890243902439	CPT0014470002_Loop.of.Henle	CPT0014470002	Loop.of.Henle	0.11890243902439	Loop of Henle	C3N-00242-N
CP	SCT.CPT0014470002_Macrophages	0.0142857142857143	CPT0014470002_Macrophages	CPT0014470002	Macrophages	0.0142857142857143	Macrophages	C3N-00242-N
CA9	SCT.CPT0014470002_Macrophages	0	CPT0014470002_Macrophages	CPT0014470002	Macrophages	0	Macrophages	C3N-00242-N
PCSK6	SCT.CPT0014470002_Macrophages	0.00357142857142857	CPT0014470002_Macrophages	CPT0014470002	Macrophages	0.00357142857142857	Macrophages	C3N-00242-N
CP	SCT.CPT0014470002_B.cells	0.0338461538461539	CPT0014470002_B.cells	CPT0014470002	B.cells	0.0338461538461539	B-cells	C3N-00242-N
