x_plot	y_plot	p_val_adj	avg_log2FC	foldchange_type	label_plot
1.23175738945425	350	0	1.23175738945425	Up (2868)	NA
1.22920867854855	350	0	1.22920867854855	Up (2868)	NA
1.99052398495031	350	0	1.99052398495031	Up (2868)	NA
1.34210044237116	350	0	1.34210044237116	Up (2868)	NA
1.00652253961014	350	0	1.00652253961014	Up (2868)	NA
1.0579609540988	350	0	1.0579609540988	Up (2868)	NA
1.31168608682403	350	0	1.31168608682403	Up (2868)	NA
1.24845259750939	350	0	1.24845259750939	Up (2868)	NA
1.49828767572368	302.336909335055	4.6035266849999e-303	1.49828767572368	Up (2868)	NA
1.41461556820193	301.141187692456	7.22457505990881e-302	1.41461556820193	Up (2868)	NA
1.59326739868169	299.48092742924	3.30424750515174e-300	1.59326739868169	Up (2868)	NA
1.38355682654791	299.001572511927	9.96385704823017e-300	1.38355682654791	Up (2868)	NA
0.968938779107221	297.175730835943	6.67220166235521e-298	0.968938779107221	Up (2868)	NA
1.35477341866571	295.033872787719	9.24969073521081e-296	1.35477341866571	Up (2868)	NA
0.921836608818185	285.407175034143	3.9158402479566e-286	0.921836608818185	Up (2868)	NA
1.28377018314587	282.322438339319	4.75950361131032e-283	1.28377018314587	Up (2868)	NA
1.34969571266639	266.684817795023	2.06624685228362e-267	1.34969571266639	Up (2868)	NA
1.24871795840233	264.814616783968	1.53243907038696e-265	1.24871795840233	Up (2868)	NA
1.29766046230967	263.789761455054	1.62270115374265e-264	1.29766046230967	Up (2868)	NA
1.18372779938568	262.290081524591	5.12765120068491e-263	1.18372779938568	Up (2868)	NA
1.1507849070352	260.26878401704	5.38537540958729e-261	1.1507849070352	Up (2868)	NA
1.0081525126597	257.227963225906	5.91611727061499e-258	1.0081525126597	Up (2868)	NA
1.24520363177558	256.781168103024	1.65512918609991e-257	1.24520363177558	Up (2868)	NA
0.890057505620639	255.857417144323	1.38861820835995e-256	0.890057505620639	Up (2868)	NA
1.44537740607152	254.223033394467	5.98365582806059e-255	1.44537740607152	Up (2868)	NA
1.08195523877768	253.831896450528	1.4726635899201e-254	1.08195523877768	Up (2868)	NA
1.22086923393927	252.904510713539	1.24591750155791e-253	1.22086923393927	Up (2868)	NA
1.15639731614	252.852488288813	1.40446755594703e-253	1.15639731614	Up (2868)	NA
0.975861701687151	249.751842887624	1.77074943694639e-250	0.975861701687151	Up (2868)	NA
0.617769131765805	248.674227362774	2.11725241654861e-249	0.617769131765805	Up (2868)	NA
1.1531975567486	248.328837200469	4.68989154366122e-249	1.1531975567486	Up (2868)	NA
0.753794231769893	247.188694885806	6.47597426441384e-248	0.753794231769893	Up (2868)	NA
1.45507212311239	247.178754766715	6.62590543425393e-248	1.45507212311239	Up (2868)	NA
0.978194538625817	245.565652396189	2.71861434281337e-246	0.978194538625817	Up (2868)	NA
1.02371952744534	243.624820485645	2.37235410866365e-244	1.02371952744534	Up (2868)	NA
1.02504329398076	241.276145522144	5.29485995522009e-242	1.02504329398076	Up (2868)	NA
1.26482413362339	240.2107808295	6.15487405436692e-241	1.26482413362339	Up (2868)	NA
1.00901057339912	238.007198208216	9.83562114136328e-239	1.00901057339912	Up (2868)	NA
0.967071414752317	236.725363849169	1.88207164108294e-237	0.967071414752317	Up (2868)	NA
0.872470525214083	234.203441472179	6.25977218238111e-235	0.872470525214083	Up (2868)	NA
1.01194740340416	234.197564148458	6.34506172875818e-235	1.01194740340416	Up (2868)	NA
1.25304127672366	233.939885096128	1.14845743551221e-234	1.25304127672366	Up (2868)	NA
1.0744105119406	230.222322463186	5.99345897318353e-231	1.0744105119406	Up (2868)	NA
1.12452788618612	230.002648709169	9.93919682157435e-231	1.12452788618612	Up (2868)	NA
0.771569275764618	229.462699523666	3.44588259388268e-230	0.771569275764618	Up (2868)	NA
0.935068200882917	229.071175571084	8.48837248469203e-230	0.935068200882917	Up (2868)	NA
1.14444271090791	221.534381791109	2.92158286603429e-222	1.14444271090791	Up (2868)	NA
0.822473458385264	220.768579435485	1.70380765253028e-221	0.822473458385264	Up (2868)	NA
1.64191861990866	218.560316054832	2.75222506143536e-219	1.64191861990866	Up (2868)	NA
0.96685744689483	215.389018315306	4.08302166825534e-216	0.96685744689483	Up (2868)	NA
1.34911394205527	210.847854732179	1.4195322637888e-211	1.34911394205527	Up (2868)	NA
1.01293385543972	210.36278375923	4.33726782738108e-211	1.01293385543972	Up (2868)	NA
0.97136915856631	210.156790040922	6.96963378674891e-211	0.97136915856631	Up (2868)	NA
0.859458054724256	208.975324569446	1.05846238894961e-209	0.859458054724256	Up (2868)	NA
0.816310018345869	201.806409296471	1.56167516382013e-202	0.816310018345869	Up (2868)	NA
1.00522267094429	198.372408986478	4.24219876818791e-199	1.00522267094429	Up (2868)	NA
0.89365936335693	198.358448211175	4.38078348099431e-199	0.89365936335693	Up (2868)	LILRB1
1.07913093256834	198.296182099937	5.05612613878237e-199	1.07913093256834	Up (2868)	NA
0.876016496599424	196.033198407074	9.26406498648165e-197	0.876016496599424	Up (2868)	NA
0.846028429255892	195.265165705529	5.43043093279718e-196	0.846028429255892	Up (2868)	NA
0.915274755767344	194.292004233146	5.10500024016067e-195	0.915274755767344	Up (2868)	NA
0.870150441322141	193.68314255102	2.07423256820762e-194	0.870150441322141	Up (2868)	NA
0.770580287461111	193.595883768253	2.5358072066148e-194	0.770580287461111	Up (2868)	NA
1.48804248924011	193.106276989267	7.82930137418286e-194	1.48804248924011	Up (2868)	NA
0.803226611180139	191.355499297029	4.41063077048129e-192	0.803226611180139	Up (2868)	NA
