ensembl_gene_id	entrezgene	external_gene_name	gene_biotype.1	transcript_count.1	description.1	gene_biotype.2	variable	value	parental_line	parental_line_text	BAP1_status	sample_text
ENSG00000163930	8314	BAP1	protein_coding	11	BRCA1 associated protein 1 [Source:HGNC Symbol;Acc:HGNC:950]	protein_coding	sample.skrc42.bap1_e1	111.474586664771	skrc42	SKRC-42	BAP1 wt	BAP1
ENSG00000163930	8314	BAP1	protein_coding	11	BRCA1 associated protein 1 [Source:HGNC Symbol;Acc:HGNC:950]	protein_coding	sample.skrc42.emptyvector_e1	19.1336240009	skrc42	SKRC-42	BAP1 null	control
