avg_log2FC.snATAC	avg_log2FC.snRNA	highlight	Gene
0.34371609892531	0.188342255404631	FALSE	AAAS
0.26561741982202	0.188342255404631	FALSE	AAAS
0.272064339668995	-0.172347933139493	FALSE	AAGAB
0.357794387688006	0.246443465977714	FALSE	ABCB8
1.90380812885179	0.177623446140011	FALSE	ABCB9
0.453474730913896	0.177623446140011	FALSE	ABCB9
0.34304900022059	0.149984635155407	FALSE	ABHD12
0.625171946791087	0.149984635155407	FALSE	ABHD12
0.873199542374869	0.149984635155407	FALSE	ABHD12
0.183356732072362	-0.124632125140243	FALSE	ABHD2
-1.35947203254462	-1.69732887281836	TRUE	ABI3BP
-0.262771137559455	-0.438767597877809	FALSE	ABL1
0.535076216439586	0.311842848913633	FALSE	ABR
-0.50117957080061	-0.0864579323678683	FALSE	ACACB
-0.529676684018062	1.18312143136844	FALSE	ACADVL
-0.480018685080331	-0.009116785485073	FALSE	ACIN1
-0.361244045757577	-0.341352731063951	FALSE	ACO1
-1.58637431891344	-0.447330626069848	FALSE	ACSL1
-0.542947312982949	-0.447330626069848	FALSE	ACSL1
0.560400740679692	0.0792781503073948	FALSE	ACSS2
0.581196409000705	1.83536079136502	FALSE	ACTB
-0.929813542900824	0.2996189946814	FALSE	ACTN1
-0.470580719708062	-0.214443333068147	FALSE	ACTR10
0.250918433379749	-0.0118360336473206	FALSE	ACVR1B
-0.40892165996292	-0.275162202309763	FALSE	ACVR2A
-0.481584499743126	-0.129792866792365	FALSE	ACYP1
0.28038781529685	-0.215460422887945	FALSE	ADAM22
0.662486993643394	-0.0555857817493585	FALSE	ADAMTS10
-0.907670098665952	-0.83019734651268	FALSE	ADCY5
-0.406725503860425	-0.392800683338116	FALSE	ADCY9
0.407269078370373	-0.00885734823792539	FALSE	ADNP
0.283424481603462	-0.764467934695693	FALSE	AGBL3
0.227002764368192	-0.249517063677336	FALSE	AHCTF1
0.198077748444274	-0.331275905099733	FALSE	AHCYL2
0.301199024010299	0.741699576084896	FALSE	AKAP17A
-1.70219675818932	-0.814298416305478	FALSE	ALDH1L1
-0.278778478607156	-0.368220808979106	FALSE	ALDH3A2
-0.250215799043602	-0.124994906202636	FALSE	ALDH6A1
-0.360408027510789	-0.514759133359375	FALSE	ALDH7A1
0.247529218018061	-0.0778616460666374	FALSE	AMN1
0.248115070170978	1.45269334542552	FALSE	ANGPTL4
0.264088438558019	-0.0883937674178373	FALSE	ANKMY2
-0.60030867071165	-0.148431590702013	FALSE	ANKRD37
-0.337824398641328	-0.0761602538090506	FALSE	ANKS6
-0.385633591307124	0.0249013200378976	FALSE	ANXA6
-0.295954596707356	-0.333226829181718	FALSE	AP1S3
-0.227658299696181	-0.134944991419367	FALSE	AP3M2
-0.228937297181267	0.218304658159283	FALSE	APBB3
0.215000973035555	-0.0438580077778247	FALSE	APLP2
0.377315040746866	-0.224937618889582	FALSE	APOLD1
0.427223451788242	-0.205356704929895	FALSE	APPL2
-0.379067872215968	-0.319207695295456	FALSE	APTX
1.87168386357141	0.320607450930083	FALSE	ARAP3
0.405455690204381	-0.0117462323621653	FALSE	ARFGEF2
-0.810252616392943	-1.10553470298949	FALSE	ARHGAP24
-0.921555641075137	-0.881819065657816	FALSE	ARHGAP26
-0.455453324314906	0.0331232047903691	FALSE	ARHGAP27
-1.13677510316791	0.0331232047903691	FALSE	ARHGAP27
-0.304946284913652	-0.817077905023474	FALSE	ARHGAP32
0.30166671264527	-0.383940249994819	FALSE	ARHGEF12
0.335583029297583	0.262505184741244	FALSE	ARHGEF16
1.19881049283882	0.286672944596142	FALSE	ARHGEF2
-0.361482404752209	-0.496307775849025	FALSE	ARHGEF28
-0.66866519143908	-0.214038496933794	FALSE	ARHGEF37
0.34413938899014	0.104615616722863	FALSE	ARPC3
-0.222336497377103	0.116921907972027	FALSE	ARRDC1
-0.369864255919233	-0.257242909441752	FALSE	ASAH1
-0.409775201668342	-0.135072738939748	FALSE	ASCC2
0.487800305633029	0.180485930605971	FALSE	ASNS
1.43417940782241	0.136596338779183	FALSE	ASPSCR1
0.286435319750415	0.518353733434242	FALSE	ASXL1
0.336651003213605	1.77938087054288	FALSE	ATF3
0.504682192778181	-0.45420597831893	FALSE	ATG10
-0.429413207066615	-0.176407337763211	FALSE	ATG2B
0.535802251224271	0.388817122864938	FALSE	ATN1
0.359012669464237	-0.0203484541652994	FALSE	ATP1B1
0.394584232798246	0.142129460299311	FALSE	ATP2A2
0.328030796062568	-0.173919024789039	FALSE	ATP2B1
0.26606935807941	0.0542961863178811	FALSE	ATP5MC2
-0.288067744246969	-0.235958346413319	FALSE	ATP6V1B2
-0.840369632463242	-0.8620994486524	FALSE	AUTS2
0.448630167701581	0.422889298877248	FALSE	AXL
0.236103012674315	-0.10960692565055	FALSE	B3GALNT2
0.598348942565982	0.428142114245301	FALSE	BAIAP2L1
0.411596193474056	0.045322764814433	FALSE	BAZ1B
0.342666219367438	0.297690414272909	FALSE	BAZ2A
0.359162639346623	0.297690414272909	FALSE	BAZ2A
0.324312760642249	-0.635052769844338	FALSE	BBS9
-1.15872164536018	0.0180806345939759	FALSE	BCAR3
-0.447490744403101	-1.90726848629088	FALSE	BCL2
0.277941520472919	0.306242909315903	FALSE	BCL2L1
-0.578101771246049	0.646684191958243	FALSE	BCL6
0.279004962300298	-0.127561068356947	FALSE	BCL9
0.431824739164153	0.899780780455822	FALSE	BHLHE41
0.55479958754677	0.899780780455822	FALSE	BHLHE41
0.342278640323906	0.399475792812093	FALSE	BICD1
