x_plot	y_plot	text_gene	color_plot
0.179478832614052	1.2846236854818	NA	FDR>=0.05
0.0140083417017601	1.27659081965511	NA	FDR>=0.05
0.132348358234857	1.27438233069653	NA	FDR>=0.05
0.0455388607179631	1.25649501769076	NA	FDR>=0.05
0.0292311128205448	1.2239302294772	NA	FDR>=0.05
0.0198220748709654	1.22099533203681	NA	FDR>=0.05
0.18641407457219	1.21877000354044	NA	FDR>=0.05
-0.0173198210662412	1.20677019405059	NA	FDR>=0.05
-0.0156644171498568	1.19725709155041	NA	FDR>=0.05
0.0402366032489693	1.19485665849842	NA	FDR>=0.05
0.282317709087531	1.1640776884303	NA	FDR>=0.05
0.108942274394207	1.16203522896632	NA	FDR>=0.05
0.0199275945317072	1.15904852611066	NA	FDR>=0.05
0.0381538980317835	1.14785789420964	NA	FDR>=0.05
0.0647510028549567	1.13856032386066	NA	FDR>=0.05
0.212136596451717	1.13469284988518	NA	FDR>=0.05
0.174802002224588	1.12925550126574	NA	FDR>=0.05
0.17450461573989	1.11034850447053	NA	FDR>=0.05
0.129992445727472	1.10383863179561	NA	FDR>=0.05
0.00417876382599594	1.10106885682337	NA	FDR>=0.05
0.172346128802686	1.09411090153816	NA	FDR>=0.05
0.242167319904656	1.08488347167782	NA	FDR>=0.05
0.0780089437822539	1.08108150319113	NA	FDR>=0.05
0.168938752259004	1.06645392127103	NA	FDR>=0.05
-0.034246396404105	1.06395680280366	NA	FDR>=0.05
0.132254754190894	1.06242368452829	NA	FDR>=0.05
0.139669018838584	1.0453852885828	NA	FDR>=0.05
0.00236876021444066	1.02578987491112	NA	FDR>=0.05
0.282895582469494	1.02146446514122	NA	FDR>=0.05
0.021195120151613	1.01869707989025	NA	FDR>=0.05
0.0132568333058293	1.01719118429047	NA	FDR>=0.05
0.0104919878133081	1.01702311861034	NA	FDR>=0.05
0.00259442654037095	1.00705216221418	NA	FDR>=0.05
0.00674824540057264	1.00174716107032	NA	FDR>=0.05
0.133688961176707	0.998916497683475	NA	FDR>=0.05
0.00369139421692685	0.970983400684113	NA	FDR>=0.05
-0.0271696172422979	0.966584144166532	NA	FDR>=0.05
0.15410659973466	0.955845001456303	NA	FDR>=0.05
0.118925346688493	0.952728391688359	NA	FDR>=0.05
0.0304932900081565	0.948174962499989	NA	FDR>=0.05
-0.0115628178908085	0.941055891538637	NA	FDR>=0.05
0.0681657419852822	0.940706202869239	NA	FDR>=0.05
0.115814161134157	0.937334277279827	NA	FDR>=0.05
0.035878552688148	0.932592991486033	NA	FDR>=0.05
0.320766663710169	0.911877433655947	NA	FDR>=0.05
0.182909557564742	0.909710313766501	NA	FDR>=0.05
0.0243647914240797	0.901215411327423	NA	FDR>=0.05
0.0991048184277568	0.894423297346639	NA	FDR>=0.05
0.0105213979292833	0.888934325908706	NA	FDR>=0.05
0.167663622398816	0.885413907313062	NA	FDR>=0.05
-0.00347867059015133	0.885056119691335	NA	FDR>=0.05
-0.046685017046997	0.883666145702798	NA	FDR>=0.05
0.144052424881452	0.879958982645327	NA	FDR>=0.05
-0.0060841154417802	0.879299251436983	NA	FDR>=0.05
0.00687927259998372	0.854794857989135	NA	FDR>=0.05
-0.0220389121837272	0.846988970392609	NA	FDR>=0.05
0.0411456648698198	0.839003386212966	NA	FDR>=0.05
0.124255964899205	0.835564985054098	NA	FDR>=0.05
0.0178202929350563	0.818608409583555	NA	FDR>=0.05
0.20907575264258	0.789618859444036	NA	FDR>=0.05
0.117746898853571	0.78677016133978	NA	FDR>=0.05
0.00518535692754571	0.784772171148995	NA	FDR>=0.05
0.0125396997153295	0.781674171589084	NA	FDR>=0.05
0.0894013717552422	0.772457272311647	NA	FDR>=0.05
0.0194543034181017	0.735835026492141	NA	FDR>=0.05
0.110025812586221	0.719380781519828	NA	FDR>=0.05
0.0777479997188004	0.718758964751149	NA	FDR>=0.05
0.000433499919127611	0.71446541946373	NA	FDR>=0.05
0.126969994206549	0.71178056197934	NA	FDR>=0.05
0.0161495599319054	0.702794751718846	NA	FDR>=0.05
0.0299993440344338	0.694759077091231	NA	FDR>=0.05
0.266967760582463	0.689091529458928	NA	FDR>=0.05
0.190252449146704	0.673161491091372	NA	FDR>=0.05
0.0341976101346018	0.656544813053578	NA	FDR>=0.05
0.0107866744454763	0.644430138814722	NA	FDR>=0.05
0.0207280120947257	0.641456165716292	NA	FDR>=0.05
0.0598676574167414	0.640938851128591	NA	FDR>=0.05
0.0506747428888413	0.633651364687565	NA	FDR>=0.05
0.0188651768296942	0.623182754757366	NA	FDR>=0.05
0.0591101695038049	0.607954293175132	NA	FDR>=0.05
0.0237083860449464	0.607940307788813	NA	FDR>=0.05
0.0187224596951023	0.599664600091554	NA	FDR>=0.05
-0.0236515610613935	0.588164952505084	NA	FDR>=0.05
0.0498734512757215	0.562830101828694	NA	FDR>=0.05
0.0521976136419153	0.558048119939212	NA	FDR>=0.05
-0.00157146947744502	0.545874448691147	NA	FDR>=0.05
0.177064024999837	0.545505304558921	NA	FDR>=0.05
0.222768099859968	0.540543159492209	NA	FDR>=0.05
0.00987453855145309	0.53938261005159	NA	FDR>=0.05
0.184008693368173	0.532306998575447	NA	FDR>=0.05
0.0327401179718635	0.531418431124447	NA	FDR>=0.05
-0.0360607455812018	0.531259707868327	NA	FDR>=0.05
0.0301347422323131	0.525567482820768	NA	FDR>=0.05
-0.0204910987720312	0.523432141674776	NA	FDR>=0.05
0.118860130186794	0.511630427680654	NA	FDR>=0.05
0.0324246446463832	0.504900378877789	NA	FDR>=0.05
