external_gene_name	value	sample_text	sample_text2
PFKP	1.55576037271217	rcc4_klf9_c2	sh-KLF9
ENO2	1.51746622994008	rcc4_klf9_c2	sh-KLF9
KLF9	0.50812658996001	rcc4_klf9_c2	sh-KLF9
HK2	1.58938689545982	rcc4_klf9_c2	sh-KLF9
PFKP	1	rcc4_scrambled	sh-NC
ENO2	1	rcc4_scrambled	sh-NC
KLF9	1	rcc4_scrambled	sh-NC
HK2	1	rcc4_scrambled	sh-NC
