CP	OSMR	OSM	TGM2	FN1
SCT.Myofibroblasts	-0.0932620650593599	2.00835778397049	-0.310841597262384	1.60000592415482	2.76900032030918
SCT.Endothelial.cells	-0.192118246002797	1.19280646154745	-0.250389201918827	2.46575452913685	0.243281725128802
SCT.DC	-0.433311559422981	-1.00335868274518	-0.0513315788829798	-0.440393653105094	-0.352531944773821
SCT.CD4..T.cells	-0.15974157208898	-0.941748878114492	-0.040768006849489	-0.731206024488438	-0.384787702052245
SCT.B.cells	-0.220496059144372	-0.932190469072561	-0.261442482088639	-0.854126050336711	-0.413186838843271
SCT.Macrophages	-0.0906585665112135	-0.957005115404323	3.51669671335075	-0.252313476510012	0.203413791507842
SCT.NK.cells	-0.421264115361476	-0.937189235885214	-0.358265781013287	-0.743890332931949	-0.532174031320698
SCT.CD8..T.cells	-0.165950501084569	-0.986359569146103	0.0480486082275001	-0.590281056930957	-0.543669050274859
SCT.Tumor.cells	3.09712862875558	1.49412727740981	-0.396117543850754	1.22712171711053	-0.383162369104736
SCT.Fibroblasts	0.6081938509808	1.37269780132492	-0.415501089023743	-0.0199184214932954	2.53492184269051
