UMAP_1	UMAP_2	cnv_cat_simple	Text_TumorCluster
-4.02834330027616	1.12347267968934	neutral	C1
1.74213113362276	-2.72637022630889	neutral	C2
-2.55463610117948	-0.803962241575311	neutral	C1
-3.02791796153105	2.15570591790955	neutral	C1
-1.68794022028959	1.82580899102967	neutral	C1
2.50996996933901	-0.929538976118157	neutral	C2
-1.97011576121366	2.51780032022278	neutral	C1
-3.52174578135527	1.13828514917176	neutral	C1
1.99750079686129	0.131758917406013	neutral	C2
1.92524423176729	0.573999394014289	neutral	C2
3.5414430695244	-0.349803935453485	neutral	C2
0.369143386430379	1.57162188394349	neutral	C1
2.40012671524965	-3.33864770428855	neutral	C2
-0.752126793318157	2.47111033304017	neutral	C1
-3.72678909724272	1.9959301839618	neutral	C1
-3.74305687373197	2.20246218545716	neutral	C1
-3.43041477625883	0.219139088228156	neutral	C1
1.30759110028231	-2.95594121114929	neutral	C2
2.85684015328371	2.85110949380677	neutral	C1
1.98434819752657	1.69492148263734	neutral	C3
1.50557984883272	-3.57890134648998	neutral	C2
2.58774473244631	-0.0922875513287287	neutral	C2
-0.863050083570842	-1.23899222509582	neutral	C1
-2.16800318186796	1.8139610181598	neutral	C1
-2.12738810008085	1.5669841657428	neutral	C1
2.29523958737337	2.28210591180604	neutral	C3
-1.59230003779447	1.68968819482606	neutral	C1
2.85044683987581	0.225077856614997	neutral	C2
-0.705350975447063	1.95082615716737	neutral	C1
2.73772396618807	2.36365221841614	neutral	C2
2.67363705212557	-1.12913895742614	neutral	C2
-3.21105442469633	-0.28977562086303	neutral	C1
2.69357826287233	-3.46745664970596	neutral	C2
3.11693622643435	-2.62880409853179	neutral	C2
3.29268397862398	-2.54199136392791	neutral	C2
-0.501450161390666	2.11579798562806	neutral	C1
2.19729616219484	-3.23053188221175	neutral	C2
3.19929446751558	-0.347227107450555	neutral	C2
-3.5910836262039	1.09900854928773	neutral	C1
-1.6909576458267	0.703963268831183	neutral	C1
-4.17622194712675	1.4016280065326	neutral	C1
-0.726113895826701	-0.403865109846185	neutral	C1
2.88667621190035	-2.21067918436248	neutral	C2
0.972471614427205	-1.55832625524719	neutral	C2
1.76520576054537	-0.585224400922845	neutral	C2
-3.9720068973831	1.39616488321107	neutral	C1
1.17030920559847	0.0902778993396063	neutral	C2
3.42531557852709	-0.772779714033196	neutral	C2
1.96326603466951	-0.472009669706414	neutral	C2
-3.58681497996366	-0.238938580915521	neutral	C1
-0.160617451124553	1.71083020074647	neutral	C1
2.04183139378511	-3.43938524620254	neutral	C2
-2.77295265620268	2.2991037259845	neutral	C1
2.69363917881929	-2.87879962818343	neutral	C2
-2.06985912745512	2.93727635247987	neutral	C1
1.9767612415024	-3.67249241070468	neutral	C2
2.5533027845093	-0.848197709486077	neutral	C2
2.92822231823885	-1.38697911398132	neutral	C2
2.58864917332613	-0.582521211072991	neutral	C2
2.98020340973818	-0.691499720975945	neutral	C2
-3.64194164698637	1.65827893121522	neutral	C1
-2.04218159144438	2.02473496301453	neutral	C1
2.93990184838259	-0.329236756727288	neutral	C2
1.41262950474703	0.466271389558722	neutral	C2
-3.91751633112944	1.64634560449403	neutral	C1
-1.16192255442656	-0.733848105833123	neutral	C1
-1.70091925089872	2.19728278024476	neutral	C1
-3.10809288447416	2.87622403009217	neutral	C1
2.2992435889908	-0.717358600065301	neutral	C2
2.2516019540497	-0.291435491010736	neutral	C2
3.49399622256243	-1.68091059820373	neutral	C2
2.71875967556917	-1.70146847860534	neutral	C2
-3.27866135066069	1.31751822335999	neutral	C1
-0.767641643934612	-1.09237528936584	neutral	C1
1.79579796368563	-3.45142311947067	neutral	C2
2.38458742672884	-1.68683243887145	neutral	C2
-3.48068390315092	0.341622818544318	neutral	C1
-0.251842121534709	1.25173472268861	neutral	C1
-3.23294697230375	2.20128725869935	neutral	C1
-3.65507755702055	0.670845497682502	neutral	C1
1.35862149769747	-0.190716039106439	neutral	C2
3.27722187811815	-1.83122159139831	neutral	C2
-1.19767628138578	2.61696146829407	neutral	C1
2.27510501915896	-0.227443467542718	neutral	C2
2.39831401879274	2.85547827585023	neutral	C1
-0.367387871199016	-1.25352884428222	neutral	C1
-1.1859847111038	2.20202015741151	neutral	C1
2.52772011334383	2.19778775079529	neutral	C3
-3.7979289097122	1.96925829751771	neutral	C1
0.939237495011922	0.387756336763312	neutral	C2
-2.85127745097197	1.41830443246644	neutral	C1
2.65015830571138	-1.44143654005248	neutral	C2
-2.89773045008696	2.54712199075501	neutral	C1
-0.771837810926799	0.0574447999743719	neutral	C1
2.27389552170717	0.26814936502259	neutral	C2
-0.792209724836711	1.53255223138612	neutral	C1
3.2967999177643	-2.69832266466338	neutral	C2
-1.18585071986235	1.70193766458314	neutral	C1
2.12544216687166	0.0481610189227362	neutral	C2
-2.07273636286772	1.57118891580384	neutral	C1
-2.11423550074614	-0.529416333601068	neutral	C2
0.20627464825594	1.11805390222352	neutral	C1
2.41094102436983	-0.195662986204217	neutral	C2
-3.68740950053251	0.352566708162238	neutral	C1
2.08480586583101	-0.622204791471551	neutral	C2
-2.98759756510771	2.68406151635926	neutral	C1
-1.32102451746977	1.86609505517762	neutral	C1
-3.37178812449491	0.980810154512336	neutral	C1
2.67615820939028	-2.42286122934539	neutral	C2
2.50197293335878	2.54425381524842	neutral	C1
-1.81239233439482	0.835503090455939	neutral	C1
2.67578997189486	-0.402822743818353	neutral	C2
-1.33238945429838	-2.24396384851653	neutral	C3
-3.384459595137	-0.217591296598504	neutral	C1
3.14679565007174	-1.09518028394897	neutral	C2
